Wheelchair Bluetooth Joystick Adapter,,Total Cost,Total Print time (hr),Total filament (g),,,,,,,
Version: V0.1,Last updated: 2024-May-06, $62.20 ,0.00,0,,,,,,,
Commercial Parts,,,,,,,,,,,
Description,Part Name,Quantity Needed,Pkg Quantity,Price per package,Price per Unit,Price for qty needed,,Link,,,
Raspberry Pi Zero W,,1,1, $21.00 , $21.00 , $21.00 ,,https://www.pishop.ca/product/raspberry-pi-zero-w/,,,
Raspberry Pi Zero W Enclosure,,1,1, $9.95 , $9.95 , $9.95 ,,https://www.pishop.ca/product/unipicase-zero-standard/ ,,,
"Micro SD Card (Class 10, 32 Gb)",,1,1, $11.95 , $11.95 , $11.95 ,,https://www.pishop.ca/product/class-10-microsd-card-32-gb-blank/,,,
"Power Supply (5V, 2.5A, USB Micro B)",,1,1, $9.95 , $9.95 , $9.95 ,,https://www.pishop.ca/product/wall-adapter-power-supply-5-25v-dc-2-4a-usb-micro-b/,,,
OTG Micro USB B to USB A Female Adapter,,1,1, $3.45 , $3.45 , $3.45 ,,https://www.pishop.ca/product/usb-otg-host-cable-microb-otg-male-to-a-female/ ,,,
Micro USB B Male to USB A Male Cable,,1,1, $3.95 , $3.95 , $3.95 ,,https://www.pishop.ca/product/usb-a-male-to-usb-micro-b-cable-3ft/ ,,,
MicroSD to SD Memory Card Adapter,,1,1, $1.95 , $1.95 , $1.95 ,,https://www.pishop.ca/product/sandisk-microsd-to-sd-memory-card-adapter/,,,
,,,,,,,,,,,
3D Printed Parts                                                                                     ESTIMATED PRICING USING 1KG ROLL COST:, $25.00 ,,,,,,,,,,
Part,Description,Quantity Needed,TOTAL Mass (g),Estimated Price,Print Time (Min),Link,,,,,
<None>,,,, $-   ,,,,,,,
,,,, $-   ,,,,,,,
,,,Total Print Cost:, $-   ,,,,,,,
Tools for Assembly,,,,,,,,,,,
Mini HDMI - HDMI Adapter,,,,,,,,,,,
,,,,,,,,,,,
Alternatives (if there are other sources for some parts link them below),,,,,,,,,,,
Part and description,Link,,,,,,,,,,
